[Date "2017.09.11"]
[Player1 "Johnny3Stacks"]
[Player2 "Johnny3Deep"]
[Result "0-R"]
[Size "5"]
1. e1 a1
2. b1 c1
3. 1b1>1 b2
4. b1 d1
5. 1a1>1 1b2-1
6. 2c1<2 Cc1
7. 5b1+23 c3
8. d3 a1
9. b1 1c1<1
10. c1 1d1<1
11. d1 1e1<1
12. e1 2d1>2
13. Cd1 2b1+2
14. 3b3>3 c2
15. 1d1<1 c4
16. 2c1>11 1c2+1
17. 4e1<13 5c3>32
18. e1 2d3-11
19. 4c1>4 4b2-4
20. 5d1+212 4b1>13
21. 3d3>3 5d1+14
22. 5e3-32 2d2>2
23. 2e1+2 1d2>1
24. Se3 3e2-3
25. 1e3-1 4e1<22
26. 5e2<212 4d3-4
27. e1 5d2<5
28. 2d4-11 c3
29. c5 d5
30. 3d2+111 2d3<2
31. 1d5>1 
