[Date "2017.09.14"]
[Player1 "Johnny3Deep"]
[Player2 "Johnny3Stacks"]
[Result "R-0"]
[Size "5"]
1. c1 a1
2. b1 b2
3. a2 1c1<1
4. a3 b3
5. a4 1b2<1
6. 1a1>1 1b3<1
7. a1 c3
8. c1 c2
9. e1 d1
10. 1c1>1 Cc1
11. 2b1<2 c4
12. c5 b4
13. 1c5-1 1b4>1
14. Cc5 2a2-2
15. 1b1<1 2c4<2
16. 1a4>1 2a3-11
17. 1a2-1 1c4<1
18. 5a1+122 2b4<2
19. 2a3+2 2b4<2
20. 3a1+111 a5
21. 2a4+2 1a3+1
22. 2a2+11 Sb4
23. 3a4-3 1b4<1
24. 4a3>112 2a4+2
25. Sa3 5a4>131
26. 1c5-1 1d4-1
27. 2c3>2 1c1>1
28. Sd2 2d1>2
29. 4c4-112 5a5>14
30. 1c3<1 1b4-1
31. 1a3>1 4c5-121
32. 2b3>2 a5
33. 1d2-1 d4
34. 1c1+1 a4
35. 4c2<22 a3
36. 2c3+2 1a3>1
37. 2c3<2 Sc3
38. 5b3-41 a1
39. 4b2+112 
