[Date "2017.09.11"]
[Player1 "Johnny3Stacks"]
[Player2 "Johnny3Deep"]
[Result "R-0"]
[Size "5"]
1. a5 a1
2. Cb5 a3
3. Sa4 b2
4. Sc2 b3
5. e1 c3
6. Sd3 c4
7. e4 a2
8. b1 d4
9. b4 1b3+1
10. b3 2b4-2
11. Sb4 c1
12. 1b4-1 b4
13. e3 d5
14. e2 e5
15. d1 1c1>1
16. c1 2d1>2
17. d1 3e1<3
18. 1d3+1 c5
19. 1b5>1 4d1<4
20. e1 1e5-1
21. 1c2-1 Cc2
22. 5c1>14 1c2-1
23. d2 c2
24. 2b3>2 1a3>1
25. 3c3<3 1c2>1
26. 5e1+311 2e3-2
27. 3e4-12 2c1+2
28. c1 2d2-2
29. d3 d2
30. e1 3d1<3
31. 5e2+113 1d2>1
32. 1e3-1 4c1<31
33. 2c5>11 
