[Date "2017.09.11"]
[Player1 "Johnny3Stacks"]
[Player2 "Johnny3Deep"]
[Result "R-0"]
[Size "5"]
1. e1 a1
2. Ce2 c1
3. Sd1 c3
4. Sb3 c2
5. 1b3>1 b1
6. Sb2 d3
7. d5 d4
8. e5 1d4+1
9. 1e5<1 d2
10. a4 e3
11. d4 c4
12. e4 1e3+1
13. b4 1c4<1
14. e5 c4
15. 1e5-1 b3
16. 3d5-3 1c4>1
17. 3e4<111 1c4>1
18. 3b4>12 1d3+1
19. 1c4>1 Cd3
20. 5d4<32 1d3+1
21. Sd3 4d4<22
22. e5 3b4<3
23. 1d3+1 5c4+5
24. 2c3+11 a3
25. 1b2+1 a2
26. 2b3<2 1b4-1
27. Sb2 1a2-1
28. d3 4a4>211
29. 3a3-12 c3
30. 2c4-2 5d4-5
31. 3c5-12 1d3<1
32. 1b2>1 1d2+1
33. Sd4 4c3+22
34. 2c2+11 4c5>13
35. 1d4-1 a5
36. Sb5 1b3+1
37. 5d3<122 3b4-3
38. 2a3>2 d2
39. c2 1c1+1
40. 5b3-23 1d2+1
41. 2b2>11 3d3<3
42. 4c4-112 d4
43. 3c2<21 
