[Date "2017.09.11"]
[Player1 "Johnny3Deep"]
[Player2 "Johnny3Stacks"]
[Result "0-R"]
[Size "5"]
1. e1 e5
2. d5 d1
3. c4 d3
4. b4 c5
5. d4 1d3+1
6. 1c4>1 e2
7. a4 Cc4
8. 2d4>2 1c4>1
9. 1d5<1 d3
10. Cd5 2d4<11
11. b5 Sa5
12. c3 d2
13. b3 1d3<1
14. 1b3>1 1a5>1
15. e3 2b5>2
16. 1d5<1 2b4>2
17. d5 Sb5
18. b4 d4
19. 3c5>3 1d4>1
20. b3 3c4<3
21. 1e3+1 1b5>1
22. 4d5-112 4b4>211
23. a3 3c5-12
24. c2 5c3<23
25. 2d4-2 5e4-5
26. 3d2>3 4e3<22
27. d2 4a3+4
28. 4e2+4 5d3-5
29. e2 1e1+1
30. d3 b2
31. e4 c5
32. e1 b1
