[Date "2017.09.13"]
[Player1 "Johnny3Stacks"]
[Player2 "Johnny4Deep"]
[Result "R-0"]
[Size "5"]
1. e5 a1
2. c1 d4
3. d1 b1
4. 1a1>1 d5
5. a1 e1
6. e2 1e1<1
7. d2 Sc2
8. 1c1>1 1c2>1
9. Cc1 2d2-2
10. 1c1>1 Sd2
11. c1 Ce1
12. c2 1d2>1
13. 5d1+1112 1d2+1
14. c3 2d3<2
15. 1c2+1 1e1<1
16. c2 2d1<2
17. 3c3+12 3c1+3
18. b3 4c2+4
19. b2 b4
20. 1c4<1 5c3<5
21. b5 e4
22. c4 c3
23. 1c4-1 d3
24. c4 1d3<1
25. 1c4-1 a2
26. 1b2<1 a5
27. 2c3+2 c2
28. a4 1a5-1
29. 2b4<2 1e4<1
30. 3d5-3 Sa5
31. e4 Sb4
32. 3a4-3 5b3>41
