[Date "2017.09.15"]
[Player1 "Johnny3Stacks"]
[Player2 "Johnny4Deep"]
[Result "R-0"]
[Size "5"]
1. a5 a1
2. b2 a4
3. c1 c4
4. b1 b4
5. d1 e1
6. e2 1e1<1
7. d2 2d1+2
8. Cd1 Se1
9. 1e2<1 Ce2
10. 1d1>1 Sd1
11. 4d2<112 Sb3
12. 2b2>11 Sc3
13. d3 1c3-1
14. e3 3c2-3
15. c2 4c1+4
16. c1 1e2+1
17. e2 5c2>5
18. 1e1<1 2e3-2
19. 1d1+1 1d1<1
20. 1b1>1 e4
21. 5d2+14 1b3+1
22. 2d4<2 3e2<3
23. 1d4>1 b5
24. a3 5d2+5
25. c3 1b4-1
26. d5 1b3>1
27. 3c1>12 b3
28. b1 c1
29. e2 e3
30. 2e4-2 e4
31. e5 1e4-1
32. 1e2+1 1c1<1
33. 1a1>1 Se2
34. 1a3+1 1b4<1
35. b4 1a4-1
