[Date "2017.09.11"]
[Player1 "Johnny3Deep"]
[Player2 "Johnny3Stacks"]
[Result "0-R"]
[Size "5"]
1. a1 e1
2. e2 b1
3. d3 c2
4. c3 e3
5. d2 1c2>1
6. 1e2<1 c1
7. d1 Cc2
8. 2d2>2 1c2>1
9. c2 2d2>2
10. 1c2-1 4e2-4
11. 2c1<2 3e1<111
12. 2d1>2 4b1>112
13. b1 1a1>1
14. a1 d2
15. 1a1>1 2c1<2
16. d4 c1
17. Ca1 5b1+23
18. c4 e2
19. 1d3-1 c2
20. 2d2<2 e4
21. 1d4>1 d2
22. d4 b1
23. 1a1>1 1c1+1
24. 1c3-1 2b2>2
25. Sb2 5c2+23
26. 1b2>1 4c4>4
27. 2e4<2 e5
28. e4 1e5-1
29. 3d4>3 1e3+1
30. 1d4>1 4e1+121
31. 3d4-111 e5
32. 3c2>12 5e4-41
33. 2d1>2 2e2+2
34. 3e1<21 
