[Date "2017.09.11"]
[Player1 "Johnny3Stacks"]
[Player2 "Johnny3Deep"]
[Result "0-R"]
[Size "5"]
1. e1 a1
2. Ce2 c1
3. Sd1 c2
4. Sc3 b1
5. Sb2 d3
6. d4 e3
7. d5 e4
8. e5 1e4<1
9. c4 2d4+2
10. 1e5<1 Cd4
11. 4d5<112 d5
12. 1d1<1 1d5<1
13. 1c4+1 e4
14. a3 a4
15. c4 1d4<1
16. 3c5>3 1a4+1
17. e5 3a5>111
18. 1e5<1 2b5>11
19. 2c5>2 2c4>2
20. 5d5<221 2d4+2
21. a4 a2
22. 1a1+1 a1
23. 2b5-2 3d5<3
24. Sd4 5c5-5
25. 2b4+2 5c4<14
26. c5 5a4-23
27. 3a3>3 d2
28. 1c3>1 d1
29. 2d3-2 1b4-1
30. 1b2+1 4a2>121
31. 3b3-3 3d2<3
32. 2c1>2 d3
33. Sc1 2d5<2
34. b4 3c5<3
35. 1a5>1 Sc5
36. 5b5-14 5c2+5
37. 5b3+5 2c3<2
38. 3d1+12 1b3-1
39. Sd1 5b2+32
40. 3d3<21 a3
41. Sa4 d3
42. 1d4-1 a5
43. 1a4-1 b2
44. 1d3<1 
