[Date "2017.09.11"]
[Player1 "Johnny3Stacks"]
[Player2 "Johnny3Deep"]
[Result "F-0"]
[Size "5"]
1. a5 a1
2. b2 a4
3. c2 b3
4. 1b2+1 b4
5. b2 a3
6. a2 1a3>1
7. e2 2b3-2
8. 1a2>1 1b3-1
9. 1c2<1 Cb3
10. 5b2<5 Sa3
11. 5a2>122 1b3-1
12. c4 3b2>3
13. d3 b5
14. e3 5c2>14
15. e4 2d2+2
16. d4 c3
17. 1d4-1 1d2+1
18. Cd2 2d3>2
19. 1d2+1 1c3+1
20. 3d3>3 d4
21. 5e3+5 1d4-1
22. 5e4<122 5e2+5
23. 3b4<3 Sb4
24. 4c4-13 d2
25. 4a4+4 e2
26. 1d4-1 1d2+1
27. 1c3>1 c1
28. 5d3-32 1e2<1
29. 3c2>3 e1
30. c2 b1
31. d3 b2
32. 1c2-1 b3
33. e5 d4
34. 1d3+1 Sd3
35. 5d2<14 1d3+1
36. 1a1>1 2d4>2
37. 1c2>1 c5
38. a1 1e1<1
39. 2d2-2 a2
