[Date "2017.09.19"]
[Player1 "Johnny4Deep"]
[Player2 "Optimus4Deep"]
[Result "0-R"]
[Size "5"]
1. c3 a2
2. b4 c2
3. a5 b2
4. c4 d2
5. 1c4-1 1c2+1
6. a4 c2
7. d5 e2
8. 1a2>1 Cb3
9. 2b2>11 1c2>1
10. Sa3 b2
11. Ca2 1b3<1
12. Sb3 3c3>12
13. 1a2>1 2d2-2
14. b5 e5
15. 1d5>1 d5
16. 2b2>11 d4
17. 2d2+2 d2
18. 2e5-11 1e2+1
19. 3d3-3 e2
20. Se1 c1
21. Sc3 2a3+2
22. 1b3+1 3a4+3
23. Sc5 e5
24. 2b4>2 b1
25. b3 b2
26. 2c4>11 1d5-1
27. 1e1<1 d5
28. 2e4-2 1b2+1
29. 2d1<2 d3
30. 3c1<3 e1
31. 2b1>11 c4
32. 4d2<112 3c2>12
