[Date "2017.09.19"]
[Player1 "Optimus4Deep"]
[Player2 "Johnny4Deep"]
[Result "R-0"]
[Size "5"]
1. d5 a4
2. a5 c4
3. b4 e3
4. e2 1c4<1
5. 1a4>1 c3
6. 1e2+1 d2
7. a4 e4
8. e2 d3
9. c4 1d5-1
10. b3 a3
11. 1c4-1 Cc4
12. 1e2<1 1c4<1
13. e2 1d3<1
14. 1b3>1 c4
15. 3c3+12 2b4>2
16. 2e3+2 1d4>1
17. Cb3 b2
18. 1b3+1 4e4-112
19. d3 3c4+3
20. 1d3>1 2e2<2
21. 2b4>2 5c5<14
22. Sd1 3d2+3
23. 1d1>1 1b5>1
24. Sd4 3d3-3
25. Sc2 4a5-31
26. 1c2>1 Sc2
27. 3a4>3 1a3>1
28. 3b4+3 1c5<1
29. 1a5>1 Se5
30. 4b5<4 1b3+1
31. 3c4-3 2b4<2
32. 3a5>12 3a4+3
33. c4 a4
34. b4 a2
35. 1b4<1 4a5-4
36. d3 5a4+5
37. 4c3<13 1a2>1
38. c3 5a5>5
39. 4a3>4 a3
40. e2 Sd1
41. b4 5b5>311
42. 1b5<1 
