[Date "2017.09.12"]
[Player1 "Johnny3Stacks"]
[Player2 "Johnny4Deep"]
[Result "F-0"]
[Size "5"]
1. e5 a1
2. c1 e4
3. a2 d3
4. b1 b2
5. d1 1b2-1
6. 1a1>1 e1
7. 1d1>1 d1
8. e2 d4
9. Cd2 1d1>1
10. 3b1>111 1d1>1
11. 2c1>11 b1
12. b2 1b1+1
13. 1a2>1 Sb1
14. 3b2<3 a1
15. b2 c2
16. 1d2<1 1a1+1
17. 1b2<1 c4
18. d2 Cb2
19. 5a2+5 Sb3
20. 5a3+5 Sb4
21. 5a4+5 c1
22. 4e1<22 1b1>1
23. 1c2-1 1d3-1
24. a1 Sb1
25. 3d1+12 e3
26. 1e2+1 1e4-1
27. 2d3>2 1c2>1
28. d1 d3
29. 5e3+23 1d4>1
30. 4e5-4 1b1<1
31. 5e4+5 d4
32. e3 1d4>1
33. 1e3+1 c2
34. e3 2d2>2
35. 1e3-1 c5
