[Date "2017.09.11"]
[Player1 "Johnny3Deep"]
[Player2 "Johnny3Stacks"]
[Result "0-F"]
[Size "5"]
1. e5 e1
2. Cd5 e3
3. Se4 c3
4. Sd3 c4
5. a2 b3
6. 1d3<1 b4
7. Sb5 d3
8. 1b5-1 c5
9. d1 d4
10. d2 1d3-1
11. c2 e2
12. 1c2>1 1e2<1
13. 1d1+1 Cd3
14. 4d2<22 1d3-1
15. a1 2d2<2
16. b1 4c2<13
17. 2b4-11 d3
18. d2 b5
19. 1d2+1 1e3<1
20. 2c3>2 4a2-4
21. 1d5<1 a2
22. Sa3 a5
23. b4 d5
24. 4b2+22 b2
25. Sc2 1b2+1
26. 2b4-2 5a1>5
27. a4 3b1+21
28. 1b4>1 5b3+5
29. 2c5<2 2b3-11
30. 1c2<1 1a5-1
31. 1a3+1 c5
32. c1 4b4>4
33. 3b2>3 5c4<5
34. 3c2+12 3b4-12
35. d1 4b1>13
36. 1c1>1 Sb1
37. 3b5-12 1b1>1
38. 3c4+3 2c1>2
39. c4 3d1>3
40. 3d3-21 2d2<2
41. a3 1c2+1
42. 1c4-1 1c2+1
43. 1d3<1 1d3<1
44. 4b3>4 Sd3
45. 4c5>4 b1
46. 4d1<112 e2
