[Date "2017.09.11"]
[Player1 "Johnny3Stacks"]
[Player2 "Johnny3Deep"]
[Result "0-R"]
[Size "5"]
1. e1 a1
2. Ce2 c1
3. Sd1 c2
4. Sc3 b1
5. Sb2 d3
6. d5 d4
7. e5 1d4+1
8. 1e5<1 d2
9. a4 e3
10. d4 e4
11. e5 c4
12. 1e5-1 1e3+1
13. b4 1d3+1
14. 2d5-2 1c4>1
15. e5 5d4<212
16. 1c3+1 2e4+2
17. 3c4<12 d3
18. 1d5>1 1e4+1
19. Sd5 5e5-32
20. 5a4>1112 c3
21. 3e4-3 b5
22. 5e3<14 1b5-1
23. 2d3+2 3b4>3
24. 2e4<11 2b4>2
25. a5 3c4>3
26. 1d5-1 c5
27. 5c3+5 Cd3
28. 5d4+5 1d3+1
29. Sc3 d3
30. a3 b3
31. a4 1b3<1
32. 1a4-1 b5
33. a4 1b5<1
34. 1a4+1 e4
35. 1d1<1 d1
36. 2c1>2 c1
37. 1d5<1 
