[Date "2017.09.11"]
[Player1 "Johnny3Deep"]
[Player2 "Johnny3Stacks"]
[Result "0-R"]
[Size "5"]
1. e1 e5
2. Cd1 e3
3. Se2 d3
4. Sd4 b3
5. Sc3 c2
6. a4 b2
7. Sa2 e4
8. 1a2>1 c1
9. a5 a3
10. a2 1a3+1
11. b5 2a4+2
12. 1b5<1 d2
13. 3a5-12 1b3<1
14. 1a2+1 b4
15. a2 a1
16. b1 1c1<1
17. 3a3-12 1a3-1
18. 3a1>3 b3
19. b5 a3
20. 1a4>1 1b3+1
21. 1b5-1 a1
22. 4b1<4 3a2-3
23. 1b1<1 Sa2
24. 4a1>4 1a2-1
25. Sa2 5a1>14
26. 1d1<1 d1
27. 3c1<12 1c1<1
28. 3a1>3 1e4+1
29. e4 1e3+1
30. 1d4>1 d5
31. 1e2<1 a4
32. 4b1<4 1c1<1
33. 4a1>4 1a4>1
34. 2b2+11 Cb2
35. c1 a1
36. 1d2+1 
