[Date "2017.09.11"]
[Player1 "Johnny3Stacks"]
[Player2 "Johnny3Deep"]
[Result "F-0"]
[Size "5"]
1. a5 a1
2. Cb5 a3
3. Sa4 b2
4. Sc2 b3
5. e1 d3
6. Sc3 a2
7. e4 d4
8. 1c3>1 c4
9. b1 c5
10. b4 c1
11. c3 1c4<1
12. c4 1c1<1
13. 1c4<1 1b3+1
14. 1b5-1 2b1<2
15. 5b4-122 1a3>1
16. 3b2+3 b5
17. 5b3+14 1c5<1
18. 1b4+1 1a5>1
19. Sb4 5b5>122
20. 1b4+1 c4
21. 1e4+1 2d5>2
22. Se4 b4
23. 2b1<2 b3
24. 1a4>1 d5
25. b1 1b3>1
26. 2b4>2 Ca3
27. b2 1a2>1
28. 1c2<1 e3
29. c1 d1
30. d2 1d1>1
31. e2 2e1+2
32. 1e4+1 3e2<3
33. 3b2>12 2c3-11
34. b2 2c1+2
35. e2 1e3-1
36. 5d2<113 2e2<11
37. e1 c1
38. 3e5<12 2c2<2
39. d1 
