[Date "2017.09.11"]
[Player1 "Johnny3Deep"]
[Player2 "Johnny3Stacks"]
[Result "0-F"]
[Size "5"]
1. a1 e5
2. Cb1 a3
3. Sa2 c3
4. Sc4 b3
5. 1c4-1 b4
6. d5 a4
7. Sc4 b5
8. 1c4<1 b2
9. e2 a5
10. d2 c2
11. c1 c5
12. e1 1c2>1
13. d3 c2
14. 1d3-1 1c2>1
15. e4 2d2>2
16. c2 1b2>1
17. 1c1+1 2d2<2
18. 2c3-2 3e2-3
19. d1 4e1<4
20. d2 1c5>1
21. 1a2+1 d4
22. Sc5 d3
23. e3 1d3>1
24. 1c5>1 1d4>1
25. 1e5-1 2e3+2
26. Se3 d3
27. 1e3+1 5d1+5
28. 4c2>4 d1
29. c3 1b3>1
30. 2c2+2 1d3<1
31. d3 3c3-12
32. 1d3<1 2c2+2
33. Sc2 c5
34. 1c2+1 b2
35. 5c3-23 1b2>1
36. 1c3-1 c3
37. 3d5<12 d3
38. 2c2+2 1d3<1
39. 1b1>1 Cc4
40. a2 
